Precinct,Registered
21111D113,845
21111D114,1009
21111D115,1612
21111D116,1512
21111D117,988
21111D120,1929
21111D121,913
21111D122,1204
21111D126,1765
21111D129,677
21111D130,1006
21111D131,663
21111D132,1853
21111D135,1031
21111D136,1475
21111D137,872
21111D138,1849
21111D139,1605
21111D140,1349
21111D141,920
21111D142,1083
21111D144,599
21111D145,428
21111E139,1532
21111E141,508
21111E142,943
21111E143,1016
21111E144,1294
21111E145,1244
21111E148,1269
21111E152,1188
21111E154,940
21111E155,1197
21111E157,311
21111E158,640
21111E159,536
21111E160,907
21111E161,513
21111E162,671
21111E163,1212
21111E164,1050
21111E165,1710
21111E166,695
21111E167,1550
21111E168,741
21111E169,1458
21111E171,738
21111E173,931
21111E175,789
21111E176,737
21111E177,380
21111E178,937
21111E179,949
21111E180,1149
21111E181,1254
21111E182,1954
21111E183,961
21111E184,908
21111E185,645
21111F106,987
21111F145,1741
21111F151,1594
21111F152,1412
21111F153,1374
21111F154,1079
21111F155,588
21111F156,1500
21111F158,421
21111F161,805
21111F163,991
21111F164,1e3
21111F166,859
21111F167,985
21111F169,544
21111F170,860
21111F171,955
21111F172,915
21111F176,897
21111F179,1190
21111F180,1942
21111F181,1663
21111F182,1737
21111F183,565
21111F184,1106
21111F185,1355
21111F186,1720
21111F187,972
21111G103,896
21111G104,788
21111G106,861
21111G107,937
21111G108,626
21111G109,1354
21111G111,883
21111G112,1615
21111G116,1202
21111G117,1561
21111G119,667
21111G120,795
21111G121,737
21111G122,623
21111G123,311
21111G124,1289
21111G126,741
21111G129,250
21111G140,845
21111G141,924
21111G142,307
21111G143,1380
21111G144,1112
21111G145,1489
21111G146,1166
21111G147,971
21111G148,484
21111G149,520
21111G150,806
21111G151,627
21111G154,974
21111G155,1203
21111G156,1055
21111G157,1226
21111G158,1132
21111G160,560
21111G161,649
21111G162,170
21111G163,794
21111G164,1670
21111G165,531
21111G166,214
21111G167,610
21111G168,125
21111G169,523
21111H102,1062
21111H103,1250
21111H105,986
21111H106,913
21111H109,528
21111H110,961
21111H111,680
21111H112,964
21111H113,481
21111H114,30
21111H115,547
21111H116,843
21111H117,1303
21111H118,1081
21111H120,1463
21111H121,602
21111H123,418
21111H124,383
21111H125,617
21111H126,685
21111H127,616
21111H131,579
21111H132,384
21111H133,146
21111H138,2045
21111H141,1053
21111H144,1436
21111H145,843
21111H146,1283
21111H147,864
21111H148,1242
21111H150,4
21111H151,2
21111H152,197
21111H154,422
21111H155,400
21111H157,46
21111H159,322
21111H160,1368
21111H161,4
21111H162,898
21111I107,1293
21111I109,748
21111I110,327
21111I111,1525
21111I112,1307
21111I115,1041
21111I120,596
21111I122,525
21111I123,1636
21111I124,947
21111I125,628
21111I126,1148
21111I130,802
21111I133,1714
21111I135,582
21111I138,19
21111I140,173
21111I141,1298
21111I142,4
21111I143,143
21111I144,109
21111I145,448
21111I146,1078
21111I147,59
21111I148,414
21111I150,247
21111I151,1229
21111I152,1465
21111I153,1972
21111I154,1569
21111I155,73
21111I156,490
21111J101,1241
21111J104,1570
21111J105,597
21111J107,1128
21111J108,1386
